img_id,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
623,226207,1677,74545,331,29535,4030,39,26,44712,31025,177468,0,0,229,0,0,0,0,0
814,244690,6671,7370,21,0,806,0,0,235982,26568,65076,4,0,1034,1602,0,0,0,0
472,186597,0,2123,0,0,1229,0,163,153791,92933,152279,0,0,231,138,0,340,0,0
46,259884,1246,157479,327,17674,1873,0,0,90206,1927,58085,552,0,571,0,0,0,0,0
203,199886,4564,203,63,1569,704,0,6,276913,4015,57582,0,0,44319,0,0,0,0,0
884,222650,25636,3240,413,18895,3061,0,261,286909,1562,19479,239,0,2807,4672,0,0,0,0
1050,264221,4667,39147,93,13033,897,32,28,77113,4843,179796,323,0,5192,0,0,439,0,0
562,206875,10377,9538,183,34072,11267,0,53,33898,20674,259641,0,0,3191,0,0,42,13,0
1071,194942,42110,3893,28,4175,4218,264,693,58336,21374,251725,0,19,5928,0,1651,468,0,0
965,261882,2912,71919,63,1601,4071,754,175,68677,2249,161603,256,0,13200,0,0,6,456,0
525,220111,16900,0,0,0,6693,0,30,179194,13470,145789,0,6,7629,0,0,0,2,0
358,508952,59,9442,13784,0,0,0,0,1789,0,55481,0,0,203,0,0,0,0,114
588,240082,1467,11433,0,0,2213,4211,496,190330,7342,129354,0,0,2896,0,0,0,0,0
732,199508,6903,3038,175,5454,3701,0,0,279824,57428,28355,0,0,5438,0,0,0,0,0
173,191224,29950,15031,5,5395,11944,1,348,137701,6799,175243,0,0,16064,0,0,119,0,0
1069,203868,21396,5015,1253,3445,11858,17,719,87616,25495,204079,24,0,24504,393,0,142,0,0
522,195991,30072,47511,21,2418,1097,0,0,173703,129,135645,122,0,1732,1249,134,0,0,0
367,508952,59,9442,13784,0,0,0,0,1789,0,55481,0,0,203,0,0,0,0,114
143,228841,76,20216,4629,1074,691,0,614,188321,14840,130067,0,0,455,0,0,0,0,0
565,208498,29773,1479,0,67,5907,0,0,204136,23386,116578,0,0,0,0,0,0,0,0
280,256668,10192,0,0,1190,1675,0,0,172499,17045,128703,0,0,1852,0,0,0,0,0
470,166729,2796,2499,0,0,652,0,48,239992,97946,79072,0,0,90,0,0,0,0,0
377,508952,59,9442,13784,0,0,0,0,1789,0,55481,0,0,203,0,0,0,0,114
462,508952,59,9442,13784,0,0,0,0,1789,0,55481,0,0,203,0,0,0,0,114
72,269995,689,3932,9106,3909,3462,19,139,59230,25068,213177,345,0,753,0,0,0,0,0
382,152285,24,26337,0,0,1676,0,1,138512,96137,173680,1,0,1143,0,0,0,28,0
630,210393,11788,6290,260,4903,201,0,0,264659,0,45641,0,0,45209,0,0,0,0,480
1113,244565,15126,5301,285,25592,9824,6310,111,65840,2606,214228,11,0,25,0,0,0,0,0
1092,261849,4808,53519,0,2228,3013,228,37,62917,2654,187564,575,9,10395,0,0,0,0,28
706,272257,5980,23573,6,9671,3521,8,1227,64049,9697,199004,0,0,831,0,0,0,0,0
88,260637,16619,1366,3160,19094,1774,0,30,48738,141,225285,0,0,12980,0,0,0,0,0
561,192001,63549,19423,500,8879,7109,828,84,47881,11338,222944,125,894,9582,211,0,1157,3319,0
1077,203604,33235,17405,0,122,14568,118,7125,105155,277,181203,15,0,25945,5,0,0,0,1047
238,200008,455,131,0,0,6909,0,5,134325,72635,166180,0,0,4167,5009,0,0,0,0
287,241048,25178,4453,965,1421,5627,17,201,142326,7540,159467,0,0,1284,0,0,0,0,297
1109,257752,4038,636,8688,8700,5436,0,356,50849,500,252582,0,0,236,0,0,51,0,0
507,217223,8368,29846,84,4589,346,0,128,206673,1710,101719,12,0,19120,0,0,0,0,6
290,252206,6993,134,1473,30,2454,0,0,26036,25048,275384,0,0,51,15,0,0,0,0
715,216960,21748,30700,0,491,1558,206,1090,28177,57110,231453,207,0,124,0,0,0,0,0
102,254460,7189,900,8629,78855,75,0,0,28979,15878,194014,0,0,828,0,0,0,4,13
728,230856,10008,0,0,18,129,0,174,281319,22952,37694,117,0,6557,0,0,0,0,0
699,207561,24262,9151,0,10138,1948,20,0,139441,12109,184921,0,0,273,0,0,0,0,0
272,257387,8783,306,723,714,1374,1052,167,18834,5300,267530,12,0,26844,793,0,5,0,0
910,212682,29578,5217,383,21762,1971,0,0,186076,25127,106941,0,0,87,0,0,0,0,0
698,201488,54333,20365,14,6625,2891,0,17,68405,12138,222143,1249,0,123,0,0,0,0,33
387,198870,39645,20934,156,128,1165,0,40,150465,33608,144400,1,0,285,0,0,0,0,127
413,202792,36426,0,0,0,619,0,412,219021,11409,119145,0,0,0,0,0,0,0,0
244,239466,14229,830,0,14,1983,0,2,133906,2244,192837,0,0,4313,0,0,0,0,0
1108,141444,4664,145071,29,8133,1921,832,0,25477,332,143035,764,0,117728,0,0,0,0,394
940,251121,18184,31090,16,3821,7492,94,631,163633,13958,98883,0,0,901,0,0,0,0,0
860,189160,3894,35929,203,19555,80,0,0,254785,36476,49742,0,0,0,0,0,0,0,0
652,184334,72690,43021,42,3616,5027,0,46,24725,19832,227660,0,0,8831,0,0,0,0,0
375,207657,18106,11238,0,1958,776,0,58,284476,16334,48489,24,0,708,0,0,0,0,0
710,231097,24409,25757,9163,18826,1034,0,20,4289,98,274506,59,0,547,0,0,0,0,19
250,246585,640,1881,114,6,1766,114,473,75373,24012,230083,0,0,8777,0,0,0,0,0
752,160420,15984,14000,0,135,316,0,0,289710,90612,149,0,0,18498,0,0,0,0,0
376,223331,23752,35227,0,10704,902,0,0,148449,14079,130095,0,0,3154,131,0,0,0,0
534,235016,22280,3080,177,5843,4987,110,273,189308,8424,116445,0,0,3800,1,80,0,0,0
318,249508,26739,8525,0,0,18,0,0,175627,5818,123438,0,0,151,0,0,0,0,0
540,225211,17051,86870,4629,4511,6091,3149,909,91625,4794,140461,614,0,3872,0,0,0,25,12
311,264325,2353,2702,45,708,1374,5,10,96387,4013,216911,90,0,899,2,0,0,0,0
39,241867,1846,462,6682,134,358,1,2,95805,376,233728,0,0,8563,0,0,0,0,0
192,226978,18297,34391,1759,1007,1777,2240,1636,65036,805,222122,0,0,13776,0,0,0,0,0
