"","GEOID","county","hhincome","hhincome_log","pct_pov","pct_pov_log","pct_white","pop","review_count","review_count_log","avg_rating","avg_price","n"
"1","13063040202","Clayton County",47946,10.7780392028275,0.145016192875135,-1.86422569735736,0.076646275638719,2779,57,4.06044301054642,"2","1",1
"2","13063040302","Clayton County",45791,10.7320612039251,0.207040121120363,-1.52767305257613,0.165883016738762,5317,29,3.40119738166216,"1","1",1
"3","13063040308","Clayton County",34032,10.4353503353679,0.158776595744681,-1.77917935723485,0.201114827201784,4485,13,1.97562185929071,"3","1",2
"4","13063040407","Clayton County",70364,11.1615791557496,0.151778154106689,-1.8215293013555,0.185859441151566,4724,29.3333333333333,3.32083696432853,"2","1",3
"5","13063040410","Clayton County",52441,10.8676346794196,0.140061162079511,-1.89671232079544,0.0590825688073394,8175,41,3.73766961828337,"1","1",1
"6","13063040414","Clayton County",59519,10.9942188677534,0.244972577696527,-1.36659927805138,0.181596587446679,1641,31,3.46524738297581,"2","1",2
"7","13063040417","Clayton County",44567,10.7049733099245,0.167366720516963,-1.72953582243796,0.0694115791134248,6339,17,2.89037175789616,"2","1",1
"8","13063040418","Clayton County",66375,11.10322640633,0.477604428787116,-0.718250798587893,0.103981445689988,2587,20,3.04452243772342,"4","1",1
"9","13063040420","Clayton County",69588,11.1504911102775,0.172244990892532,-1.70240339328572,0.253002581658997,8909,18,2.94443897916644,"2","1",1
"10","13063040424","Clayton County",62753,11.0471210068518,0.0636195182211241,-2.60884509518302,0.0762816553428042,3238,44,3.51276915731926,"2","1",2
"11","13063040425","Clayton County",58565,10.978063263376,0.259187620889749,-1.31234666707667,0.0777562862669246,5170,128,4.85981240436167,"4","1",1
"12","13063040510","Clayton County",72525,11.191824482973,0.151408450704225,-1.82381716575472,0.0549670770111652,3493,5,1.79175946922805,"4","1",1
"13","13063040512","Clayton County",42656,10.6611576291116,0.216546018614271,-1.48480718200589,0.0895735564170577,4901,36,3.30602051741655,"2","1",2
"14","13063040513","Clayton County",54639,10.9086861951756,0.0992315402606081,-2.2142854271494,0.0742285237698082,5995,14,2.70805020110221,"2","1",1
"15","13063040523","Clayton County",48804,10.7957724359434,0.212464589235127,-1.50298733954651,0.0604343720491029,3177,4,1.6094379124341,"2","1",1
"16","13063040538","Clayton County",60074,11.0034988621179,0.115459124370399,-2.07577527569068,0.0492057342115459,2581,19,2.99573227355399,"2","1",1
"17","13063040606","Clayton County",66587,11.1064148104689,0.130264871906209,-1.96422270165407,0.224771497854878,5361,18,2.94443897916644,"1","1",1
"18","13063040609","Clayton County",89115,11.3977951577166,0.0465232616308154,-2.87310301527924,0.117433716858429,7996,34,3.55534806148941,"2","1",1
"19","13063040617","Clayton County",40469,10.6085386000989,0.368900455432661,-0.970481758971867,0.314899154196487,1537,43,3.78418963391826,"2","1",1
"20","13063040623","Clayton County",61707,11.0303146986853,0.173875282265069,-1.69349756496957,0.133055410804238,5757,1,0.693147180559945,"4","1",1
"21","13063040630","Clayton County",54180,10.9002516685602,0.1930729550479,-1.59418998003107,0.0945713583886023,4071,26,3.29583686600433,"2","1",1
"22","13063040635","Clayton County",59583,10.9952933964913,0.160919540229885,-1.76656235818252,0.30152224824356,3416,50,3.93182563272433,"4","1",1
"23","13063040637","Clayton County",74938,11.2245498187184,0.0876263842079923,-2.32660749209574,0.0659605199807415,4154,55,4.02535169073515,"1","1",1
"24","13067030104","Cobb County",64306,11.0715637128643,0.134224450013924,-1.93638451223579,0.706488443330549,3591,58,4.07753744390572,"2","1",1
"25","13067030109","Cobb County",104176,11.5539330422689,0.00871898054996647,-3.97821726721651,0.799910574558462,4473,21.5,3.06994227611313,"2","1",2
"26","13067030110","Cobb County",85726,11.3590280863928,0.10260336906585,-2.1838836430683,0.580504786771105,4596,25,2.8604938937662,"3","2",3
"27","13067030111","Cobb County",96815,11.480660504383,0.0256788044622185,-3.33319847905653,0.71147880041365,4835,39.5,3.35950657719263,"4","2",2
"28","13067030112","Cobb County",71417,11.176431228107,0.0522413211998652,-2.77673617183304,0.51567239635996,2967,48,3.89182029811063,"4","NaN",1
"29","13067030220","Cobb County",107000,11.580677567021,0.0741626794258373,-2.47500369321534,0.6561004784689,1672,16,2.81739480158462,"3","1",2
"30","13067030235","Cobb County",130063,11.7758511102955,0.120607974733518,-2.03555500172595,0.60501381760758,5066,38,3.66356164612965,"2","1",1
"31","13067030240","Cobb County",110956,11.6169791270668,0.0540926719738722,-2.74742524337121,0.692932575142161,4924,15.5,2.79174815439085,"3","2",2
"32","13067030242","Cobb County",104050,11.5527229348443,0.104516806722689,-2.16703368315523,0.613205094879127,3847,22,3.13549421592915,"5","NaN",1
"33","13067030244","Cobb County",175577,12.075889925552,0.0231627711097073,-3.40632738436263,0.707517372078332,4749,1,0.693147180559945,"4","NaN",1
"34","13067030246","Cobb County",56621,10.9443118174368,0.146139119336311,-1.85700787852422,0.641318124207858,1578,40,3.24384200924231,"2","1",2
"35","13067030247","Cobb County",64504,11.0746375334946,0.121104185218166,-2.03176296486113,0.534330750734705,3743,42,3.76120011569356,"2","1",1
"36","13067030248","Cobb County",70987,11.1703929016096,0.19827080890973,-1.56891608019133,0.527057182705718,7170,37,3.15458570461795,"4","2",5
"37","13067030249","Cobb County",78654,11.27294089646,0.13229089103996,-1.94988178830372,0.564408041697692,4029,31,3.46573590279973,"2","1",1
"38","13067030251","Cobb County",168500,12.0347503741946,0.0279083431257344,-3.27258405587631,0.579318448883666,3404,90,4.51085950651685,"4","2",1
"39","13067030253","Cobb County",113654,11.6410020069118,0.023296962547921,-3.40228910093321,0.626658802713064,3391,101,4.62497281328427,"4","1",1
"40","13067030255","Cobb County",101618,11.5290743667096,0.150317980343033,-1.83059605882571,0.311042590094431,5189,36.5,2.8244871190806,"4","1",2
"41","13067030257","Cobb County",63468,11.0584486681579,0.0317925591882751,-3.17503696514694,0.538965291421087,4581,29.3333333333333,3.38069042944607,"3","1",3
"42","13067030258","Cobb County",75671,11.2342824171691,0.0818461538461538,-2.38764034249113,0.539852851011649,3262,49,3.15854114982816,"5","2",3
"43","13067030259","Cobb County",95553,11.4675409948356,0.177754677754678,-1.67261907384305,0.57952182952183,3848,31,3.46573590279973,"4","2",1
"44","13067030262","Cobb County",139216,11.8438537910501,0.0174568965517241,-3.59513790208224,0.668736616702356,4670,21,2.38741641939495,"4","2",4
"45","13067030267","Cobb County",172161,12.0562434479665,0.00426985482493595,-4.24960602099041,0.828351836037575,3513,40,3.71357206670431,"2","1",1
"46","13067030269","Cobb County",102143,11.5342269683901,0.128935030140656,-1.97374886418114,0.531270791749834,3006,74,4.31748811353631,"2","1",1
